id_habilidad,id_heroe,Héroe,Nombre de Habilidad,Descripción,Imagen
1,1,Alchemist,Acid Spray,"En inglés: Acid Spray.  Pulveriza ácido a gran presión sobre el área objetivo. Las unidades enemigas que caminen sobre el terreno contaminado reciben daño cada segundo y se reduce su armadura.",https://es.dotabuff.com/assets/skills/alchemist-acid-spray-5365-81d6b3d51a26dbd3d33d3841414067719e5631eb7a02236607cacd8776324967.jpg
2,1,Alchemist,Unstable Concoction,"En inglés: Unstable Concoction.  Alchemist prepara una mezcla inestable que puede lanzar a un héroe enemigo para aturdir e infligir daño en un área alrededor de la explosión. Cuanto más se prepare la mezcla\, más daño causará y más tiempo aturdirá. Alchemist será más rápido mientras lleve la mezcla consigo. Tras 5 s\, alcanza su máximo potencial de daño y tiempo de aturdimiento. Sin embargo\, tras 5.5 s\, la mezcla explotará sobre Alchemist si no la lanza.",https://es.dotabuff.com/assets/skills/alchemist-unstable-concoction-5366-81b1e5d67704538ae35269df43a631030d8085cde61862b166d1fb383147f468.jpg
3,1,Alchemist,Corrosive Weaponry,"En inglés: Corrosive Weaponry.  Alchemist recubre sus armas y potencia sus hechizos con un ácido que aplica una ralentización acumulable y una reducción del daño de ataque base a los enemigos alcanzados.  Los ataques aplican 2 acumulaciones. Mezcla Inestable aplica 1 acumulación por cada segundo de preparación.",https://es.dotabuff.com/assets/skills/alchemist-corrosive-weaponry-1116-3c81b60a8530283e3a4925553f20a4337bc75887af174d795f31d4c24e7c2d75.jpg
4,1,Alchemist,Berserk Potion,"En inglés: Berserk Potion.  Alchemist lanza una poción sobre un aliado\, lo que le aplica una disipación básica y le otorga velocidad de ataque\, velocidad de movimiento y regeneración de vida.  TIPO DE DISIPACIÓN: Básica.",https://es.dotabuff.com/assets/skills/alchemist-berserk-potion-642-b563a7a474c592bd43edb50ddb83a97af9559e65d3dc455dc748903d83d9ead5.jpg
5,1,Alchemist,Greevil's Greed,"En inglés: Greevil's Greed.  Alchemist sintetiza oro adicional de sus enemigos y de las Runas de Recompensa. Con cada víctima\, Alchemist obtiene oro adicional base y una bonificación de oro adicional. Si Alchemist mata a otra unidad que dé oro en los siguientes 40 s\, obtendrá una instancia de bonificación de oro adicional que se añade al total. Además hace que las Runas de Recompensa produzcan más oro de lo normal.",https://es.dotabuff.com/assets/skills/alchemist-greevils-greed-1333-5732fca37fe37b82177a8be9890337e3267e0afc99375e199c900815606cefac.jpg
6,1,Alchemist,Chemical Rage,"En inglés: Chemical Rage.  Alchemist hace que su Ogro entre en un estado de furia inducida por químicos que reduce su tiempo de ataque base y aumenta su velocidad de movimiento y regeneración de vida.  TIPO DE DISIPACIÓN: Básica.",https://es.dotabuff.com/assets/skills/alchemist-chemical-rage-5369-b743b415e5d40987b57ec8e8335e8f0cd55c93b8c260a87fe4832527ac636ec4.jpg
7,1,Alchemist,Unstable Concoction Throw,"En inglés: Unstable Concoction Throw.  ¡Lánzala antes de que explote!",https://es.dotabuff.com/assets/skills/alchemist-unstable-concoction-throw-5367-630446b105c4f58ff331d0ec7fa772b910b4a5bc9838653978cde1a11c75bb8a.jpg
8,2,Axe,Berserker's Call,"En inglés: Berserker's Call.  Axe provoca a las unidades enemigas cercanas\, que se ven forzadas a atacarlo\, y recibe armadura adicional mientras dure el efecto.",https://es.dotabuff.com/assets/skills/axe-berserkers-call-5007-f30d7f95a1a6ae8c45eb5b8f323b9a7148f6bcb3f7c74121d5746310f203b562.jpg
9,2,Axe,Battle Hunger,"En inglés: Battle Hunger.  Enfurece a una unidad enemiga\, haciendo que reciba daño con el tiempo hasta que mate a otra unidad o termine el efecto. El daño aumenta en proporción a la armadura de Axe. El enemigo también es ralentizado siempre y cuando esté de espaldas a Axe.",https://es.dotabuff.com/assets/skills/axe-battle-hunger-5008-ecac4583b6dbd88ae530922fbfb8beceefb8997472e22bb62f58008c749c97ce.jpg
10,2,Axe,Counter Helix,"En inglés: Counter Helix.  Tras un número determinado de ataques\, Axe realizará un contraataque espiral que infligirá daño puro a todos los enemigos cercanos.",https://es.dotabuff.com/assets/skills/axe-counter-helix-5009-b77d885afc3c807552246304350a9aa22732196915dedfde9e545f8cd0c29633.jpg
11,2,Axe,Culling Blade,"En inglés: Culling Blade.  Axe detecta las debilidades y ataca\, infligiendo daño puro. Cuando un héroe enemigo es asesinado con Hoja Selectiva\, el tiempo de recarga se reinicia y las unidades aliadas cercanas obtienen velocidad de movimiento y armadura adicionales.",https://es.dotabuff.com/assets/skills/axe-culling-blade-5010-e6a8712ccd92e6fa17617dcb9b56e0005f6c720e24bc7d5967ab9ab26d1bc93c.jpg
12,2,Axe,Coat of Blood,"En inglés: Coat of Blood.  Axe empapa su hoja de forma permanente cada vez que mata a un héroe enemigo\, con lo que obtiene 0.2 / 0.3 / 0.4 / 0.5 de armadura adicional por cada acumulación. Asesinar con Hoja Selectiva otorga 3 acumulaciones.",https://es.dotabuff.com/assets/skills/default-5a612c460046882c6741f2fd3db0f48ae721d557d613f3dc4db7262a1bd5864a.jpg
13,3,Bristleback,Viscous Nasal Goo,"En inglés: Viscous Nasal Goo.  Cubre a un objetivo con mocos\, haciendo que pierda armadura y velocidad de movimiento durante 6 s. Múltiples lanzamientos se acumulan y restablecen la duración.",https://es.dotabuff.com/assets/skills/bristleback-viscous-nasal-goo-5548-f219c5f03395fc08e37bc961c21edd4af7ef5a8f68672e47a4849ea3a1b6cf7e.jpg
14,3,Bristleback,Quill Spray,"En inglés: Quill Spray.  Rocía a las unidades enemigas con espinas\, infligiendo daño en un área alrededor de Bristleback. Inflige daño adicional por cada vez que una unidad haya sido rociada por Lluvia de Espinas en los últimos 14 s.",https://es.dotabuff.com/assets/skills/bristleback-quill-spray-5549-9f968e6c7f1ba1841ce80b135f8095444dab8749385d4983b95ebb4c600ccfdf.jpg
15,3,Bristleback,Bristleback,"En inglés: Bristleback.  Bristleback recibe menos daño si le atacan por el lateral o por detrás. Si Bristleback recibe 275 / 250 / 225 / 200 de daño por detrás\, lanza una Lluvia de Espinas del nivel actual.",https://es.dotabuff.com/assets/skills/bristleback-bristleback-5550-e94c27c022ff4211a3b32c9e22b6e6d7b9bee8bb9d1cf9c1d00e93fff0fc70c3.jpg
16,3,Bristleback,Hairball,"En inglés: Hairball.  Tose una bola de pelo llena de púas hacia la ubicación objetivo. La bola explota en el destino\, golpeando a los enemigos con acumulaciones de Viscosidad Nasal y con Lluvia de Espinas.",https://es.dotabuff.com/assets/skills/bristleback-hairball-643-70a14389891308ab78cf5fde4e4b4c53640a06393b7e2f7bbcae37a16242f820.jpg
17,3,Bristleback,Warpath,"En inglés: Warpath.  Bristleback entra en un estado de furia cada vez que lanza un hechizo\, aumentando su velocidad de movimiento y daño.",https://es.dotabuff.com/assets/skills/bristleback-warpath-5551-42e084ad57b140060ee2bdbe355607838e979db3dfa16815712788290a98ac9f.jpg
18,3,Bristleback,Prickly,"En inglés: Prickly.  Bristleback tiene un 10 % de amplificación de daño y de duración de los efectos negativos contra héroes enemigos que se encuentren detrás de él.",https://es.dotabuff.com/assets/skills/default-5a612c460046882c6741f2fd3db0f48ae721d557d613f3dc4db7262a1bd5864a.jpg
19,4,Centaur Warrunner,Rawhide,"En inglés: Rawhide.  Gana de forma permanente 30 de vida máxima cada 120 s.",https://es.dotabuff.com/assets/skills/default-5a612c460046882c6741f2fd3db0f48ae721d557d613f3dc4db7262a1bd5864a.jpg
20,5,Chaos Knight,Chaos Bolt,"En inglés: Chaos Bolt.  Lanza un misterioso rayo de energía a la unidad objetivo. Aturde una cantidad aleatoria de tiempo e inflige una cantidad aleatoria de daño.",https://es.dotabuff.com/assets/skills/chaos-knight-chaos-bolt-5426-ecba3ab9070706def1e5c8c7429778f4fa04bca6f06148e1630af133f069dccc.jpg
21,5,Chaos Knight,Reality Rift,"En inglés: Reality Rift.  Teletransporta a Chaos Knight\, a sus ilusiones y a la unidad objetivo a un punto en la línea entre él y el objetivo. Reduce la armadura de la unidad enemiga durante 6 s.",https://es.dotabuff.com/assets/skills/chaos-knight-reality-rift-5427-0a923a0e4ed1eb1a8fa6fcc381052db3833e1f05af393d73ba7cdf0d5f9aad27.jpg
22,5,Chaos Knight,Chaos Strike,"En inglés: Chaos Strike.  Los ataques de Chaos Knight y de sus ilusiones tienen una probabilidad de infligir un Impacto Crítico de fuerza variable con robo de vida adicional. Roba menos vida a los creeps.",https://es.dotabuff.com/assets/skills/chaos-knight-chaos-strike-5428-2fc06ab7141dcbfd1cc9f893a43812097df72629cd75101a8baa8a97a0f270b0.jpg
23,5,Chaos Knight,Reins of Chaos,"En inglés: Reins of Chaos.  Siempre que se creen ilusiones de Chaos Knight\, existe un 50 % de probabilidad de que aparezca 1 ilusión adicional.",https://es.dotabuff.com/assets/skills/default-5a612c460046882c6741f2fd3db0f48ae721d557d613f3dc4db7262a1bd5864a.jpg
24,5,Chaos Knight,Phantasm,"En inglés: Phantasm.  Invoca varias copias fantasmales de Chaos Knight desde dimensiones alternativas. Los fantasmas son ilusiones que infligen un 100 % de daño\, pero reciben un 350 % de él. TIPO DE DISIPACIÓN: Básica",https://es.dotabuff.com/assets/skills/chaos-knight-phantasm-5429-479102c42bb08d7a2a690584219f0d9b3b240e157138d822da5e699426151ffd.jpg
25,6,Dawnbreaker,Starbreaker,"En inglés: Starbreaker.  Dawnbreaker hace girar su martillo 3 veces y daña a los enemigos con su ataque más daño adicional. En el ataque final\, golpea su martillo contra el suelo para aturdir y dañar a los enemigos que tiene frente a ella.",https://es.dotabuff.com/assets/skills/dawnbreaker-starbreaker-7902-6ca16b45ae8b1377d34e68e84d462f5b3f3234686502c64545575435378f32e6.jpg
26,6,Dawnbreaker,Celestial Hammer,"En inglés: Celestial Hammer.  Dawnbreaker lanza su arma a un objetivo\, dañando a los enemigos alcanzados en el camino. El martillo se detiene durante 2 s en el destino antes de volar de regreso hacia ella\, dejando un rastro de fuego que ralentiza a los enemigos. Dawnbreaker puede llamar el martillo de vuelta en cualquier momento\, atrayéndola hacia él para que ambos se encuentren a mitad del camino.",https://es.dotabuff.com/assets/skills/dawnbreaker-celestial-hammer-7914-ec737e095c009fde5d082c98ff398daf85c8f938ad91fdccf4d7135fb8d176f3.jpg
27,6,Dawnbreaker,Luminosity,"En inglés: Luminosity.  Tras un número de ataques\, Dawnbreaker se potencia\, cargando su próximo ataque con un impacto crítico que cura mediante una porción del daño de ataque infligido a todos los héroes aliados que se encuentren dentro de un radio de 650 unidades a su alrededor. Los creeps y los enemigos neutrales proporcionan menos curación. Los aliados son curados con un 50 % de la cantidad.",https://es.dotabuff.com/assets/skills/dawnbreaker-luminosity-7918-8a2ac79f283a13c486490b58628466948d14f096aba43cc71221aa10bc5ec0b8.jpg
28,6,Dawnbreaker,Converge,"En inglés: Converge.  Dawnbreaker llama de vuelta a su martillo\, atrayendo a ambos a la vez para que se encuentren a mitad del camino.",https://es.dotabuff.com/assets/skills/dawnbreaker-converge-7903-4ef145dcb8026214a11fdf2a2b6c0f961d7c488e709db4442683a128dccc3fe9.jpg
29,6,Dawnbreaker,Break of Dawn,"En inglés: Break of Dawn.  Cuando sale el sol\, Dawnbreaker revela todo el mapa a los aliados durante 4 s.",https://es.dotabuff.com/assets/skills/default-5a612c460046882c6741f2fd3db0f48ae721d557d613f3dc4db7262a1bd5864a.jpg
30,6,Dawnbreaker,Solar Guardian,"En inglés: Solar Guardian.  CANALIZADA: Dawnbreaker crea un efecto pulsativo en una ubicación dentro de 350 unidades de un héroe aliado en cualquier parte del mapa\, dañando enemigos y curando a los aliados con cada pulsación. Tras una breve duración\, vuela a la ubicación objetivo\, lo que inflige daño adicional y aturde a los enemigos al aterrizar. Una vez canalizada\, Dawnbreaker no puede detener la habilidad.",https://es.dotabuff.com/assets/skills/dawnbreaker-solar-guardian-7906-f06586a3fd48c6e3b744cfa55c6cb316d9acbc7ee69f9589e80f645805e52b48.jpg
31,6,Dawnbreaker,Land Solar Guardian,"En inglés: Land Solar Guardian.  Se puede lanzar para que Dawnbreaker aterrice en el área objetivo en cualquier momento.",https://es.dotabuff.com/assets/skills/dawnbreaker-land-solar-guardian-8037-fbc50c05c29440009a5013aa587bef6b792c1d50d7caefee1d1aa57b9bf30833.jpg
32,7,Doom,Devour,"En inglés: Devour.  Consume a un creep neutral o enemigo y adquiere cualquier habilidad especial que este posea. Si el lanzamiento alternativo está desactivado\, Doom no adquirirá las habilidades del creep. La duración es igual al tiempo de recarga.",https://es.dotabuff.com/assets/skills/doom-devour-5339-5f9269053c974f305aeb9d8764b71c4d05168ef385e178efbb047649883c6d19.jpg
33,7,Doom,Scorched Earth,"En inglés: Scorched Earth.  Cubre la tierra cercana con llamas que dañan a los enemigos y otorgan velocidad de movimiento adicional a Doom.",https://es.dotabuff.com/assets/skills/doom-scorched-earth-5340-16ae3f9a5500f778f5d016d016d95fd5ff9b190898e12b3b0037f536c5724702.jpg
34,7,Doom,Infernal Blade,"En inglés: Infernal Blade.  Doom blande su espada llameante y prende fuego al enemigo. Aturde durante 0.6 s y aplica una quemadura durante 4 s que inflige un daño base más un porcentaje de la vida máxima del objetivo como daño por segundo.",https://es.dotabuff.com/assets/skills/doom-infernal-blade-5341-2f32f02f8cde10109b65f1dbb355201ef8e04f257c6a1df9e962bd3d561e1a93.jpg
35,7,Doom,Doom,"En inglés: Doom.  Lanza una maldición sobre un enemigo que disipa sus efectos positivos\, le impide utilizar habilidades o curarse y le inflige daño con el tiempo.  TIPO DE DISIPACIÓN: Básica.",https://es.dotabuff.com/assets/skills/doom-doom-5342-3223862fdb56a277c9ddfb104de1928b4aa8a3fc490d41ae1d57f1465d849851.jpg
36,7,Doom,Lvl ? Pain,"En inglés: Lvl ? Pain.  Los ataques de Doom infligen un 25 % de daño adicional a los héroes con un nivel inferior al de Doom.",https://es.dotabuff.com/assets/skills/default-5a612c460046882c6741f2fd3db0f48ae721d557d613f3dc4db7262a1bd5864a.jpg
37,8,Dragon Knight,Breathe Fire,"En inglés: Breathe Fire.  Lanza una bocanada de fuego frente a Dragon Knight que quema a los enemigos y reduce el daño que sus ataques infligen.",https://es.dotabuff.com/assets/skills/dragon-knight-breathe-fire-5226-aecd9cb5a6c42ac15bd4483944af725a29dd61f8fc51f0ca3fae4bc5342cd2fd.jpg
38,8,Dragon Knight,Dragon Tail,"En inglés: Dragon Tail.  Dragon Knight golpea a una unidad enemiga cercana con su escudo\, con lo que la aturde y le inflige daño. Cuando se encuentra en forma de Dragón Ancestral\, el alcance de lanzamiento aumenta a 450.",https://es.dotabuff.com/assets/skills/dragon-knight-dragon-tail-5227-d5e491c3acf4c4d8f43fd37701059cba68e438d711f770ad36012d1c1e648112.jpg
39,8,Dragon Knight,Wyrm's Wrath,"En inglés: Wyrm's Wrath.  La sangre vital del Dragón mejora los ataques de Dragon Knight. Cuando se encuentra en forma de Dragón\, estos efectos son más fuertes.",https://es.dotabuff.com/assets/skills/dragon-knight-wyrms-wrath-5228-9369b41759d9fff264fcbe9f6da6d38f5484f78a99c54c6ef0df55cc8e8121e0.jpg
40,8,Dragon Knight,Fireball,"En inglés: Fireball.  Incendia un área\, infligiendo daño con el tiempo a los enemigos que se encuentren en ella. Tiene un alcance de lanzamiento reducido en cuerpo a cuerpo.",https://es.dotabuff.com/assets/skills/dragon-knight-fireball-660-f7fce73c4b70c32a9616a02e7ac4f40976d84337d875abb332eb41256fcb9e7d.jpg
41,8,Dragon Knight,Elder Dragon Form,"En inglés: Elder Dragon Form.  Dragon Knight adopta la forma de uno de los tres poderosos dragones ancestrales. Aumenta la velocidad de movimiento\, el daño de ataque y los fectos de Ira de Wyrm. Los ataques aplican los efectos por impacto de Ira de Wyrm y un porcentaje del daño de ataque a todos los enemigos cerca del objetivo. Aumenta el alcance de Cola de Dragón. Aumenta la bonificación de regeneración de vida y la armadura adicional de Sangre Dracónica.",https://es.dotabuff.com/assets/skills/dragon-knight-elder-dragon-form-5229-6d19602d6a502a5c62258a2ae4dbc1ddf72b3573a420a9c5f14dbd5e94840b90.jpg
42,8,Dragon Knight,Dragon Blood,"En inglés: Dragon Blood.  La sangre vital del Dragón mejora la regeneración de vida y armadura de Dragon Knight. La cantidad de ambos valores aumenta en 0.5 por nivel y se multiplica cuando está en Forma de Dragón.",https://es.dotabuff.com/assets/skills/default-5a612c460046882c6741f2fd3db0f48ae721d557d613f3dc4db7262a1bd5864a.jpg
43,9,Earth Spirit,Boulder Smash,"En inglés: Boulder Smash.  Earth Spirit golpea al enemigo o aliado objetivo\, enviándolo en la dirección que está mirando. Si Earth Spirit selecciona un área como objetivo\, golpeará a la unidad más cercana en un radio de 200\, priorizando a los Remanentes de Piedra. El Remanente u objetivo empujado inflige daño a todas las unidades con las que impacte. Si un enemigo es alcanzado por un Remanente de Piedra también será ralentizado. Los Remanentes de Piedra recorren una distancia mayor que las otras unidades.",https://es.dotabuff.com/assets/skills/earth-spirit-boulder-smash-5608-75418fdb5cedce1bd33d10a86ce760998e2b05c9a24115c0c80f7e1fb57fd1e9.jpg
44,9,Earth Spirit,Rolling Boulder,"En inglés: Rolling Boulder.  Earth Spirit se convierte en una roca y\, tras un retraso de 0.6 s\, rueda hacia el lugar objetivo infligiendo 60 / 70 / 80 / 90 de daño + un 100 % de fuerza como daño y aturdiendo a las unidades enemigas. Si impacta contra un héroe enemigo o es aturdido\, se detendrá. Si rueda por encima de un Remanente de Piedra\, aumentará su velocidad y la distancia recorrida\, y aturdirá a los enemigos durante más tiempo.",https://es.dotabuff.com/assets/skills/earth-spirit-rolling-boulder-5609-09c157fa4cace61aa942327d0ba65d40a2ee9ed085475133395ff48e131f8bbb.jpg
45,9,Earth Spirit,Geomagnetic Grip,"En inglés: Geomagnetic Grip.  Earth Spirit atrae al Remanente de Piedra objetivo. Los enemigos golpeados por el objetivo atraído quedarán silenciados y recibirán daño.",https://es.dotabuff.com/assets/skills/earth-spirit-geomagnetic-grip-5610-a3a22acfd9d2a2cc3c59adf1819ebf540c8523e27e78c4adfa0f40db91b92ff4.jpg
46,9,Earth Spirit,Stone Remnant,"En inglés: Stone Remnant.  Llama a un Remanente de Piedra a la ubicación objetivo. Los Remanentes de Piedra no tienen visión\, son invulnerables y pueden ser usados con las habilidades de Earth Spirit. Llamar a un Remanente de Piedra consume una carga\, que se regenera con el tiempo. Gana cargas adicionales cada 5 niveles de héroe.",https://es.dotabuff.com/assets/skills/earth-spirit-stone-remnant-1395-05fb68851f01bc23083997c60f84680b0e3cd907758a95f7c3447e69fb19409b.jpg
47,9,Earth Spirit,Enchant Remnant,"En inglés: Enchant Remnant.  Earth Spirit hechiza temporalmente a un héroe\, otorgándole las propiedades de un Remanente de Piedra. Tras una corta duración\, el remanente se fractura\, liberando al héroe y dañando a los enemigos cercanos. Se puede usar sobre Remanentes de Piedra\, y tiene 5 segundos de tiempo de recarga cuando se utiliza de esa forma. Tiene un mayor alcance de lanzamiento cuando se lanza sobre un héroe aliado.",https://es.dotabuff.com/assets/skills/earth-spirit-enchant-remnant-5648-1460eb701900c0bac80b836b21565b51481c5a822be0b58b1e52740c22bcd656.jpg
48,9,Earth Spirit,Magnetize,"En inglés: Magnetize.  Magnetiza a las unidades en una pequeña área cercana\, infligiéndoles daño durante unos breves instantes. Los héroes magnetizados hacen que los Remanentes de Piedra cercanos exploten\, destruyendo al remanente y restableciendo la duración de Magnetizar en todos los enemigos cercanos. Este proceso puede repetirse varias veces. Si un héroe enemigo se ve afectado por Atracción Geomagnética o Roca Rodante\, todos los héroes magnetizados comparten los efectos.",https://es.dotabuff.com/assets/skills/earth-spirit-magnetize-5612-6e5e73b39cefda5d5676ab76c79d4af176c451c38c945e937ad43157fa7f90d3.jpg
49,10,Earthshaker,Fissure,"En inglés: Fissure.  Aporrea el suelo con un poderoso tótem\, creando una cresta de roca infranqueable que aturde y daña a las unidades enemigas en línea recta.",https://es.dotabuff.com/assets/skills/earthshaker-fissure-5023-a9258a07d1fb04c41ad58b1cb2097d9e1bd9ad4134165665b73032ff4f23225f.jpg
50,10,Earthshaker,Enchant Totem,"En inglés: Enchant Totem.  Potencia el tótem de Earthshaker para que inflija daño adicional y tenga 100 de alcance adicional en el siguiente ataque.",https://es.dotabuff.com/assets/skills/earthshaker-enchant-totem-5024-f0bb5abf0621b49fb5f48994253cb097688dd2b190c8ef01685d793cbf0cf74c.jpg
51,10,Earthshaker,Aftershock,"En inglés: Aftershock.  Hace que la tierra tiemble bajo sus pies\, añadiendo daño adicional y aturdiendo a las unidades enemigas cercanas cuando Earthshaker lanza sus habilidades.",https://es.dotabuff.com/assets/skills/earthshaker-aftershock-5025-869e7232d30c1f6158618cb33f7acba441622e273d93ed570fc9416b5c01a515.jpg
52,10,Earthshaker,Echo Slam,"En inglés: Echo Slam.  Ondas sísmicas viajan por el suelo\, dañando a las unidades enemigas. Cada enemigo alcanzado provoca una resonancia que daña a las unidades cercanas. Los héroes reales provocan dos resonancias.",https://es.dotabuff.com/assets/skills/earthshaker-echo-slam-5026-fc635679e04bdbdc6e5967080978a2c784fa424770f38427ad2b344331a465cb.jpg
53,10,Earthshaker,Spirit Cairn,"En inglés: Spirit Cairn.  Cuando Earthshaker muere\, se crea una fisura en un radio de 75 de donde murió. La fisura bloquea el movimiento y permite que Earthshaker siga obteniendo experiencia. Permanece hasta que Earthshaker reaparece.",https://es.dotabuff.com/assets/skills/default-5a612c460046882c6741f2fd3db0f48ae721d557d613f3dc4db7262a1bd5864a.jpg
